layer,tau,aer_1,aer_2
1,0.015,0,0
2,0.015,0,0
3,0.015,0,0
4,0.015,0,0
5,0.015,0,0
6,0.015,0,0
7,0.015,0,0
8,0.015,0,0
9,0.015,0,0
10,0.015,0,0
11,0.015,0,0
12,0.015,0,0
13,0.000323533,0,0
14,0.001454474,0.016067114,0.008033557
15,0.001466206,0.016067114,0.008033557
16,0.001478032,0.016067114,0.008033557
17,0.001489954,0.016067114,0.008033557
18,0.001501971,0.016067114,0.008033557
19,0.001514086,0.016067114,0.008033557
20,0.001526299,0.016067114,0.008033557
21,0.00153861,0.016067114,0.008033557
22,0.00155102,0.016067114,0.008033557
23,0.00156353,0.016067114,0.008033557
24,0.001576142,0.016067114,0.008033557
25,0.001588855,0.016067114,0.008033557
26,0.00160167,0.016067114,0.008033557
27,0.001614589,0.016067114,0.008033557
28,0.001627612,0.016067114,0.008033557
29,0.00164074,0.016067114,0.008033557
30,0.001653974,0.016067114,0.008033557
31,0.001667315,0.016067114,0.008033557
32,0.001680764,0.016067114,0.008033557
33,0.001694321,0.016067114,0.008033557
34,0.001707987,0.016067114,0.008033557
35,0.001721763,0.016067114,0.008033557
36,0.001735651,0.016067114,0.008033557
37,0.001749651,0.016067114,0.008033557
38,0.001763763,0.016067114,0.008033557
39,0.001777989,0.016067114,0.008033557
40,0.001792331,0.016067114,0.008033557
41,0.001806787,0.016067114,0.008033557
42,0.001821361,0.016067114,0.008033557
43,0.001836052,0.016067114,0.008033557
44,0.001850861,0.016067114,0.008033557
45,0.000222109,0.001919457,0.000959729
